Amostra;local;linhagens
COV999;Belém- PA;-
COV1004;Belém- PA;-
COV1046;Belém- PA;-
COV1083;Belém- PA;-
COV1099;Belém- PA;-
COV1110;Belém- PA;-
COV1114;Belém- PA;-
COV1117;Belém- PA;--
COV1127;Belém- PA;-
COV1149;Belém- PA;-
COV1229;Belém- PA;-
COV1232;Belém- PA;-
COV1245;Belém- PA;-
COV1277;Belém- PA;-
COV1317;Belém- PA;-
COV1349;Belém- PA;-
COV1353;Belém- PA;-
COV1392;Belém- PA;-
COV1403;Belém- PA;-
COV1409;Belém- PA;-
COV1411;Belém- PA;-
COV1437;Belém- PA;-
COV1464;Belém- PA;-
COV1512;Belém- PA;-
COV1522;Belém- PA;-
COV1557;Belém- PA;-
COV1595;Belém- PA;-
COV1602;Belém- PA;-
COV1604;Belém- PA;-
COV1645;Belém- PA;-
COV1674;Belém- PA;-
COV1677;Belém- PA;-
COV1684;Belém- PA;-
COV1685;Belém- PA;-
COV1686;Belém- PA;-
COV1691;Belém- PA;-
COV1692;Belém- PA;-
COV955;Belém- PA;P.2
COV977;Belém- PA;B.1.1.438
COV982;Belém- PA;P.2
COV1075;Belém- PA;B.1.1.316
COV1081;Belém- PA;P.2
COV1111;Belém- PA;P.2
COV1112;Belém- PA;B.1.1.317
COV1116;Belém- PA;P.2
COV1128;Belém- PA;B.1.243
COV1160;Belém- PA;B.1.1
COV1196;Belém- PA;B.1
COV1212;Belém- PA;-
COV1280 ;Belém- PA;B.1.1
COV1301;Belém- PA;P.2
COV1311;Belém- PA;-
COV1324;Belém- PA;B.1
COV1336;Belém- PA;P.2
COV1341;Belém- PA;P.2
COV1352;Belém- PA;B.1.1.316
COV1360;Belém- PA;-
COV1384;Belém- PA;B.1.596
COV1401;Belém- PA;B.1.1
COV1412;Belém- PA;B.1.1
COV1470;Belém- PA;B.1.1.28
COV1514;Belém- PA;B.1.1.28
COV1537;Belém- PA;P.2
COV1538;Belém- PA;P.2
COV1539;Belém- PA;P.2
COV1540;Belém- PA;P.2
COV1556;Belém- PA;B.1.1
COV1558;Belém- PA;B.1.2
COV1566;Belém- PA;P.2
COV1594;Belém- PA;P.2
COV1633;Belém- PA;P.1
COV1680;Belém- PA;P.2
COV1687;Belém- PA;-
COV1693;Belém- PA;P.1
COV1694;Belém- PA;P.1
COV1695;Belém- PA;P.1
COV1696;Belém- PA;P.1
COV1697;Belém- PA;P.1
COV1710;Belém- PA;P.1
COV1711;Belém- PA;P.1
200006007281WSC;Manaus-AM;B.1.1.28
230481197;Manaus-AM;P.1
230489160;Manaus-AM;P.2
230492416;Manaus-AM;P.1
230495417;Manaus-AM;P.1
230500052;Manaus-AM;P.1
230501019;Manaus-AM;P.1
230502682;Manaus-AM;P.2
230502700;Manaus-AM;P.1
230503878;Manaus-AM;P.1
230506533;Manaus-AM;P.2
230507799;Manaus-AM;P.1
230508721;Manaus-AM;P.2
230509845;Manaus-AM;P.1
230510325;Manaus-AM;P.1
230511474;Manaus-AM;P.1
230511907;Manaus-AM;P.1
230515072;Manaus-AM;P.2
230519884;Manaus-AM;P.1
230520194;Manaus-AM;P.1
270039713;Manaus-AM;P.2
270039827;Manaus-AM;P.1
270040306;Manaus-AM;P.2
270040321;Manaus-AM;P.2
270040375;Manaus-AM;P.1
270040602;Manaus-AM;P.1
270041421;Manaus-AM;P.1
270042148;Manaus-AM;P.1
270042807;Manaus-AM;P.1
270042933;Manaus-AM;P.1
CLP;Manaus-AM;B.1.1.28
RGS;Manaus-AM;B.1.1.28
COV1512;Belém- PA;-
COV1522;Belém- PA;-
COV1595;Belém- PA;-
COV1645;Belém- PA;-
COV1674;Belém- PA;-
COV1677;Belém- PA;-
COV1684;Belém- PA;-
COV1685;Belém- PA;-
COV1686;Belém- PA;-
COV1740;Belém- PA;-
COV1743;Belém- PA;-
COV1748;Belém- PA;-
COV1749;Belém- PA;-
COV1759;Belém- PA;-
COV1761;Belém- PA;-
COV1769;Belém- PA;-
COV1771;Belém- PA;-
COV1777;Belém- PA;-
COV1778;Belém- PA;-
COV1806;Belém- PA;-
COV1811;Belém- PA;-
COV1812;Belém- PA;-
COV1850;Belém- PA;-
COV1859;Belém- PA;-
COV1861;Belém- PA;-
COV1869;Belém- PA;-
COV1880;Belém- PA;-
COV99;Belém- PA;-
COV903;Belém- PA;-
COV223;Belém- PA;-
COV743;Belém- PA;-
COV781;Belém- PA;B.1.1
COV165;Belém- PA;-
COV833;Belém- PA;B.1.1.28
COV55;Belém- PA;B.1.1.28
COV1779;Belém- PA;B.1.1.28
COV1785;Belém- PA;-
COV64;Belém- PA;-
COV1949;Belém- PA;B.1.1.33
COV1924;Belém- PA;B.1.1
COV222;Belém- PA;-
COV1818;Belém- PA;B.1.1
COV1842;Belém- PA;B.1.1
COV1828;Belém- PA;B.1.1.333
COV1801;Belém- PA;B.1.1
COV745;Belém- PA;-
COV1977;Belém- PA;-
COV1950;Belém- PA;P.1
COV261;Belém- PA;B.1.1.28
COV982;Belém- PA;P.1
COV916;Belém- PA;P.1
COV69;Belém- PA;P.1
COV101;Belém- PA;B.1.1.28
COV62;Belém- PA;B.1.1.28
COV65;Belém- PA;P.1
COV934;Belém- PA;P.1
COV34;Belém- PA;B.1.1
COV1791;Belém- PA;-
COV17;Belém- PA;P.2
COV785;Belém- PA;B.1.1.28
COV21;Belém- PA;B.1.1
COV1829;Belém- PA;B.1.1.28
COV1927;Belém- PA;P.2
COV955;Belém- PA;B.1.1.28
COV1776;Belém- PA;P.1
COV18;Belém- PA;B.1.1
COV783;Belém- PA;B.1.1.117
COV915;Belém- PA;P.1
COV1885;Belém- PA;B.1.1
210001008658-DSA;Manaus-AM;P1
210001008663-EPX;Manaus-AM;P1
210001008673-ZSM;Manaus-AM;P1
210001008683-JLRJ;Manaus-AM;P1
210001008686-RISS;Manaus-AM;-
210001008695-CCF;Manaus-AM;P1
210001008702-RGBF;Manaus-AM;P1
210001008765-IPR;Manaus-AM;P1
2114133-MLCS;Manaus-AM;P1
21141398-NOS;Manaus-AM;P1
21141400-DWFS;Manaus-AM;P1
21841355-MSB;Manaus-AM;P1
21841357-MFBF;Manaus-AM;P1
21841361-ASG;Manaus-AM;P1
21841518-RSAS;Manaus-AM;P1
FMT-2668;Manaus-AM;P1
1567_S9;BELEM;B.1.1.28
1568_S10;BELEM;B.1.1.174
1602_S11;BELEM;
1603_S12;BELEM;N.9
